number,value,datetime_start,datetime_complete,duration,params_classifier,params_knn_algorithm,params_knn_n_neighbors,params_knn_weights,params_svc_C,params_svc_kernel,state
0,0.4485067323396074,2025-09-14 13:17:39.547434,2025-09-14 13:17:39.698970,0 days 00:00:00.151536,NaiveBayes,,,,,,COMPLETE
1,0.4485067323396074,2025-09-14 13:17:39.698970,2025-09-14 13:17:39.782869,0 days 00:00:00.083899,NaiveBayes,,,,,,COMPLETE
2,0.721938390542668,2025-09-14 13:17:39.782869,2025-09-14 13:17:40.909967,0 days 00:00:01.127098,KNN,kd_tree,16.0,uniform,,,COMPLETE
3,0.7631320581519841,2025-09-14 13:17:40.926689,2025-09-14 13:17:45.937339,0 days 00:00:05.010650,KNN,brute,8.0,distance,,,COMPLETE
4,0.7143801684625227,2025-09-14 13:17:45.941518,2025-09-14 13:17:46.368833,0 days 00:00:00.427315,KNN,auto,20.0,uniform,,,COMPLETE
5,0.7156085000977772,2025-09-14 13:17:46.371505,2025-09-14 13:17:47.994211,0 days 00:00:01.622706,KNN,kd_tree,19.0,uniform,,,COMPLETE
6,0.719198709162393,2025-09-14 13:17:47.995782,2025-09-14 13:17:48.313819,0 days 00:00:00.318037,KNN,brute,18.0,uniform,,,COMPLETE
7,0.4485067323396074,2025-09-14 13:17:48.313819,2025-09-14 13:17:48.388451,0 days 00:00:00.074632,NaiveBayes,,,,,,COMPLETE
8,0.6998299837573769,2025-09-14 13:17:48.389968,2025-09-14 13:17:48.746707,0 days 00:00:00.356739,KNN,auto,30.0,uniform,,,COMPLETE
9,0.7402679541706216,2025-09-14 13:17:48.750025,2025-09-14 13:17:49.052631,0 days 00:00:00.302606,KNN,brute,19.0,distance,,,COMPLETE
10,0.6720524639407515,2025-09-14 13:17:49.054642,2025-09-14 13:18:02.809609,0 days 00:00:13.754967,SVC,,,,0.11366091658162998,poly,COMPLETE
11,0.4476580798344128,2025-09-14 13:18:02.809609,2025-09-14 13:18:13.136277,0 days 00:00:10.326668,SVC,,,,93.56141951174645,sigmoid,COMPLETE
12,0.7665336331238788,2025-09-14 13:18:13.142266,2025-09-14 13:18:13.437678,0 days 00:00:00.295412,KNN,brute,1.0,distance,,,COMPLETE
13,0.7665336331238788,2025-09-14 13:18:13.438761,2025-09-14 13:18:13.709400,0 days 00:00:00.270639,KNN,brute,1.0,distance,,,COMPLETE
14,0.7665336331238788,2025-09-14 13:18:13.714091,2025-09-14 13:18:16.263567,0 days 00:00:02.549476,KNN,ball_tree,1.0,distance,,,COMPLETE
15,0.5786109030059121,2025-09-14 13:18:16.268096,2025-09-14 13:19:12.976899,0 days 00:00:56.708803,SVC,,,,0.013195703530141788,rbf,COMPLETE
16,0.7665336331238788,2025-09-14 13:19:12.985178,2025-09-14 13:19:13.440034,0 days 00:00:00.454856,KNN,brute,2.0,distance,,,COMPLETE
17,0.7631320581519841,2025-09-14 13:19:13.440034,2025-09-14 13:19:13.911651,0 days 00:00:00.471617,KNN,brute,8.0,distance,,,COMPLETE
18,0.6985072234579552,2025-09-14 13:19:13.917066,2025-09-14 13:19:58.488881,0 days 00:00:44.571815,SVC,,,,13.625211445511765,linear,COMPLETE
19,0.4485067323396074,2025-09-14 13:19:58.489889,2025-09-14 13:19:58.557168,0 days 00:00:00.067279,NaiveBayes,,,,,,COMPLETE
20,0.7627545667309287,2025-09-14 13:19:58.561265,2025-09-14 13:20:00.410181,0 days 00:00:01.848916,KNN,ball_tree,7.0,distance,,,COMPLETE
21,0.7665336331238788,2025-09-14 13:20:00.415978,2025-09-14 13:20:01.737538,0 days 00:00:01.321560,KNN,ball_tree,1.0,distance,,,COMPLETE
22,0.7687079033443374,2025-09-14 13:20:01.739649,2025-09-14 13:20:03.337547,0 days 00:00:01.597898,KNN,ball_tree,4.0,distance,,,COMPLETE
23,0.7678573310128736,2025-09-14 13:20:03.339871,2025-09-14 13:20:05.078693,0 days 00:00:01.738822,KNN,ball_tree,5.0,distance,,,COMPLETE
24,0.7654003105653844,2025-09-14 13:20:05.081095,2025-09-14 13:20:06.885601,0 days 00:00:01.804506,KNN,ball_tree,6.0,distance,,,COMPLETE
25,0.7536847716701507,2025-09-14 13:20:06.887609,2025-09-14 13:20:08.867952,0 days 00:00:01.980343,KNN,ball_tree,11.0,distance,,,COMPLETE
26,0.7537791556871951,2025-09-14 13:20:08.867952,2025-09-14 13:20:10.870557,0 days 00:00:02.002605,KNN,ball_tree,12.0,distance,,,COMPLETE
27,0.7678573310128736,2025-09-14 13:20:10.870557,2025-09-14 13:20:12.494629,0 days 00:00:01.624072,KNN,ball_tree,5.0,distance,,,COMPLETE
28,0.6982238481712091,2025-09-14 13:20:12.499032,2025-09-14 13:20:23.373654,0 days 00:00:10.874622,SVC,,,,1.4872678965373376,linear,COMPLETE
29,0.7678573310128736,2025-09-14 13:20:23.374774,2025-09-14 13:20:25.101993,0 days 00:00:01.727219,KNN,ball_tree,5.0,distance,,,COMPLETE
30,0.4485067323396074,2025-09-14 13:20:25.106877,2025-09-14 13:20:25.169904,0 days 00:00:00.063027,NaiveBayes,,,,,,COMPLETE
31,0.7687079033443374,2025-09-14 13:20:25.171937,2025-09-14 13:20:26.803828,0 days 00:00:01.631891,KNN,ball_tree,4.0,distance,,,COMPLETE
32,0.7687079033443374,2025-09-14 13:20:26.805835,2025-09-14 13:20:28.414945,0 days 00:00:01.609110,KNN,ball_tree,4.0,distance,,,COMPLETE
33,0.4485067323396074,2025-09-14 13:20:28.414945,2025-09-14 13:20:28.478346,0 days 00:00:00.063401,NaiveBayes,,,,,,COMPLETE
34,0.7536847716701507,2025-09-14 13:20:28.478346,2025-09-14 13:20:30.379928,0 days 00:00:01.901582,KNN,ball_tree,11.0,distance,,,COMPLETE
35,0.7687079033443374,2025-09-14 13:20:30.382536,2025-09-14 13:20:32.023050,0 days 00:00:01.640514,KNN,ball_tree,4.0,distance,,,COMPLETE
36,0.7687079033443374,2025-09-14 13:20:32.027905,2025-09-14 13:20:33.631505,0 days 00:00:01.603600,KNN,ball_tree,4.0,distance,,,COMPLETE
37,0.7611486097332513,2025-09-14 13:20:33.631505,2025-09-14 13:20:35.477852,0 days 00:00:01.846347,KNN,ball_tree,9.0,distance,,,COMPLETE
38,0.4485067323396074,2025-09-14 13:20:35.480988,2025-09-14 13:20:35.550667,0 days 00:00:00.069679,NaiveBayes,,,,,,COMPLETE
39,0.7661564095855586,2025-09-14 13:20:35.550667,2025-09-14 13:20:37.172004,0 days 00:00:01.621337,KNN,ball_tree,3.0,distance,,,COMPLETE
40,0.7355434403108154,2025-09-14 13:20:37.173793,2025-09-14 13:20:37.490649,0 days 00:00:00.316856,KNN,auto,23.0,distance,,,COMPLETE
41,0.7687079033443374,2025-09-14 13:20:37.492831,2025-09-14 13:20:39.163504,0 days 00:00:01.670673,KNN,ball_tree,4.0,distance,,,COMPLETE
42,0.7661564095855586,2025-09-14 13:20:39.163504,2025-09-14 13:20:40.883197,0 days 00:00:01.719693,KNN,ball_tree,3.0,distance,,,COMPLETE
43,0.7497162675362736,2025-09-14 13:20:40.891308,2025-09-14 13:20:42.074361,0 days 00:00:01.183053,KNN,kd_tree,14.0,distance,,,COMPLETE
44,0.7687079033443374,2025-09-14 13:20:42.077319,2025-09-14 13:20:43.689532,0 days 00:00:01.612213,KNN,ball_tree,4.0,distance,,,COMPLETE
45,0.7394178283103832,2025-09-14 13:20:43.693326,2025-09-14 13:20:44.686353,0 days 00:00:00.993027,KNN,kd_tree,9.0,uniform,,,COMPLETE
46,0.7627545667309287,2025-09-14 13:20:44.686353,2025-09-14 13:20:46.495439,0 days 00:00:01.809086,KNN,ball_tree,7.0,distance,,,COMPLETE
47,0.4497377428022141,2025-09-14 13:20:46.498547,2025-09-14 13:20:59.274095,0 days 00:00:12.775548,SVC,,,,1.021896570110137,sigmoid,COMPLETE
48,0.7661564095855586,2025-09-14 13:20:59.275167,2025-09-14 13:21:00.892973,0 days 00:00:01.617806,KNN,ball_tree,3.0,distance,,,COMPLETE
49,0.7441419403460866,2025-09-14 13:21:00.897231,2025-09-14 13:21:01.149694,0 days 00:00:00.252463,KNN,auto,6.0,uniform,,,COMPLETE
